Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
887-1104-1-ND,TXC CORPORATION,7B-16.000MAAJ-T,REF144,10,
887-1133-1-ND,TXC CORPORATION,7M-26.000MAAJ-T,REF146,10,
W25Q40BWSNIG-ND,WinBond Electronics,25Q40,REF162,10,
712-1005-1-ND,Johanson Technology Inc,2450AT18A100E,REF147,20,
609-3712-ND,FCI,20021111-00010T4LF,REF156,10,
535-10104-1-ND,Abracon LLC,ABS06-32.768KHZ-T,REF164,10,
535-12077-1-ND,Abracon LLC,ASCO-8.000MHZ-EK-T3,REF165,10,
587-1902-1-ND,Taiyo Yuden,BK2125HM601-T,REF142,10,
587-2165-1-ND,Taiyo Yuden,BRL3225T2R2M,REF141,10,
445-4858-1-ND,TDK Corporation,C1005C0G1H1R5B050BA,REF170,10,
445-4854-1-ND,TDK Corporation,C1005C0G1H010B050BA,REF174,10,
445-1237-1-ND,TDK Corporation,C1005C0G1H150J050BA,REF171,20,
445-1239-1-ND,TDK Corporation,C1005C0G1H220J050BA,REF173,20,
445-4952-1-ND,TDK Corporation,C1005X7R1C104K050BC,REF167,150,
445-1257-1-ND,TDK Corporation,C1005X7R1H222K050BA,REF172,10,
445-7334-1-ND,TDK Corporation,C1005X7R1H333K050BB,REF169,10,
445-9104-1-ND,TDK Corporation,C1608X7S0J106M080AC,REF166,70,
445-6863-1-ND,TDK Corporation,C3225X7R1A226K230AC,REF168,20,
445-5577-1-ND,TDK Corporation,CGA2B2C0G1H4R7C050BA,REF175,10,
541-1.00MLCT-ND,Vishay Dale,CRCW04021M00FKED,REF182,10,
541-1.20MLCT-ND,Vishay Dale,CRCW04021M20FKED,REF184,10,
541-2.00MLCT-ND,Vishay Dale,CRCW04022M00FKED,REF183,10,
541-10.0KLCT-ND,Vishay Dale,CRCW040210K0FKED,REF180,70,
541-12.0KLCT-ND,Vishay Dale,CRCW040212K0FKED,REF178,30,
541-22.0KLCT-ND,Vishay Dale,CRCW040222K0FKED,REF181,10,
541-24.9LCT-ND,Vishay Dale,CRCW040224R9FKED,REF187,30,
541-86.6LCT-ND,Vishay Dale,CRCW040286R6FKED,REF188,320,
541-200LCT-ND,Vishay Dale,CRCW0402200RFKED,REF179,10,
541-220KLCT-ND,Vishay Dale,CRCW0402220KFKED,REF186,20,
563-1102-1-ND,Copal Electronics Inc,CUS-12TB,REF153,10,
490-6250-1-ND,Murata Electronics North America,GRM1555C1H5R6CA01D,REF176,10,
712-1415-1-ND,Johanson Technology Inc,L-07C2N7SV6T,REF140,10,
712-1459-1-ND,Johanson Technology Inc,L-07C3N9SV6T,REF137,10,
712-1420-1-ND,Johanson Technology Inc,L-07C8N2JV6T,REF143,10,
160-2022-1-ND,Lite-On Inc,LTST-C19FD1WT,REF151,120,
160-1647-1-ND,Lite-On Inc,LTST-C191TBKT,REF152,30,
MK20DX256VLH7-ND,Freescale,MK20DX256VLH7,REF95,10,
1428-1019-1-ND,InvenSense,MPU-9250,REF161,10,
1490-1019-ND,Nordic Semiconductor,NRF24L01P-T,REF96,10,
568-3389-1-ND,NXP Semiconductors,PCA9552BS,REF158,20,
296-27017-1-ND,Texas Instruments,TPS61200DRCR,REF98,10,
